"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.SourceConcept","Input.SourceConceptBase","Input.TargetConcept","Input.TargetConceptBase","Answer.DoNotKnow","Answer.Source2Target","Answer.Target2Source","Answer.Unrelated","Answer.comment","Approve","Reject"
"202M05BMJTUHCDB2010RF7S5VPKKF8","2ZZ2NJQ2172ZNQZ3DNBLHVEBUPGPXH","Help Determine Prerequisite for a Concept","In this task, you will determine whether understanding the main concept of a particular Wikipedia page is a prerequisite to understanding the main concept of another Wikipedia page.","comprehension,prerequisite,classification,newton's laws,physics,motion,velocity","$0.02","Tue Jan 17 04:18:24 GMT 2012","5","Department:Other","3600","604800","Tue Jan 24 04:18:24 GMT 2012","375","","2KSRYNJ92NJK0HEXTVKUMYW3WLT6BL","A16AK06D5FHLOF","Submitted","Sat Jan 21 12:59:20 GMT 2012","Sat Jan 21 12:59:27 GMT 2012","Sat Jan 28 04:59:27 PST 2012","","","","7","100% (65/65)","100% (65/65)","100% (65/65)","http://en.wikipedia.org/wiki/General_relativity","General_relativity","http://en.wikipedia.org/wiki/Conservation_of_energy","Conservation_of_energy","DoNotKnow","","","",""
"202M05BMJTUHCDB2010RF7S5VPKKF8","2ZZ2NJQ2172ZNQZ3DNBLHVEBUPGPXH","Help Determine Prerequisite for a Concept","In this task, you will determine whether understanding the main concept of a particular Wikipedia page is a prerequisite to understanding the main concept of another Wikipedia page.","comprehension,prerequisite,classification,newton's laws,physics,motion,velocity","$0.02","Tue Jan 17 04:18:24 GMT 2012","5","Department:Other","3600","604800","Tue Jan 24 04:18:24 GMT 2012","375","","2KYX3YOCCF0C3MTJW59NNIXZWVJRST","AG7K841P6LCWL","Submitted","Sat Jan 21 07:20:52 GMT 2012","Sat Jan 21 07:20:58 GMT 2012","Fri Jan 27 23:20:58 PST 2012","","","","6","100% (22/22)","100% (22/22)","100% (22/22)","http://en.wikipedia.org/wiki/General_relativity","General_relativity","http://en.wikipedia.org/wiki/Conservation_of_energy","Conservation_of_energy","","","","Unrelated",""
"202M05BMJTUHCDB2010RF7S5VPKKF8","2ZZ2NJQ2172ZNQZ3DNBLHVEBUPGPXH","Help Determine Prerequisite for a Concept","In this task, you will determine whether understanding the main concept of a particular Wikipedia page is a prerequisite to understanding the main concept of another Wikipedia page.","comprehension,prerequisite,classification,newton's laws,physics,motion,velocity","$0.02","Tue Jan 17 04:18:24 GMT 2012","5","Department:Other","3600","604800","Tue Jan 24 04:18:24 GMT 2012","375","","2N52AC9KSSZVBEBCBHLUPQOZWFO1J5","A3GFE7FYLZF4V1","Submitted","Sat Jan 21 14:10:03 GMT 2012","Sat Jan 21 14:10:06 GMT 2012","Sat Jan 28 06:10:06 PST 2012","","","","3","100% (441/441)","100% (441/441)","100% (441/441)","http://en.wikipedia.org/wiki/General_relativity","General_relativity","http://en.wikipedia.org/wiki/Conservation_of_energy","Conservation_of_energy","","Source2Target","","",""
"202M05BMJTUHCDB2010RF7S5VPKKF8","2ZZ2NJQ2172ZNQZ3DNBLHVEBUPGPXH","Help Determine Prerequisite for a Concept","In this task, you will determine whether understanding the main concept of a particular Wikipedia page is a prerequisite to understanding the main concept of another Wikipedia page.","comprehension,prerequisite,classification,newton's laws,physics,motion,velocity","$0.02","Tue Jan 17 04:18:24 GMT 2012","5","Department:Other","3600","604800","Tue Jan 24 04:18:24 GMT 2012","375","","2NRXR24SMEZZG3R6TZ0UDP9ZJYZ1IP","ADN980R82YEY0","Submitted","Fri Jan 20 17:38:15 GMT 2012","Fri Jan 20 17:38:40 GMT 2012","Fri Jan 27 09:38:40 PST 2012","","","","25","100% (369/369)","100% (369/369)","100% (369/369)","http://en.wikipedia.org/wiki/General_relativity","General_relativity","http://en.wikipedia.org/wiki/Conservation_of_energy","Conservation_of_energy","","Source2Target","","",""
"202M05BMJTUHCDB2010RF7S5VPKKF8","2ZZ2NJQ2172ZNQZ3DNBLHVEBUPGPXH","Help Determine Prerequisite for a Concept","In this task, you will determine whether understanding the main concept of a particular Wikipedia page is a prerequisite to understanding the main concept of another Wikipedia page.","comprehension,prerequisite,classification,newton's laws,physics,motion,velocity","$0.02","Tue Jan 17 04:18:24 GMT 2012","5","Department:Other","3600","604800","Tue Jan 24 04:18:24 GMT 2012","375","","2U1RJ85OZIZEV3JWWYFOV5EX5N09XF","A1AYHJTD7VEVXD","Submitted","Fri Jan 20 20:26:35 GMT 2012","Fri Jan 20 20:26:40 GMT 2012","Fri Jan 27 12:26:40 PST 2012","","","","5","100% (404/404)","100% (403/403)","100% (403/403)","http://en.wikipedia.org/wiki/General_relativity","General_relativity","http://en.wikipedia.org/wiki/Conservation_of_energy","Conservation_of_energy","","Source2Target","","",""
"204JUNU8LZ6RLHPRYLZDDJ3VDAGJ30","2ZZ2NJQ2172ZNQZ3DNBLHVEBUPGPXH","Help Determine Prerequisite for a Concept","In this task, you will determine whether understanding the main concept of a particular Wikipedia page is a prerequisite to understanding the main concept of another Wikipedia page.","comprehension,prerequisite,classification,newton's laws,physics,motion,velocity","$0.02","Tue Jan 17 04:18:26 GMT 2012","5","Department:Other","3600","604800","Tue Jan 24 04:18:26 GMT 2012","230","","254NHMVHVKCJEIA69JVJC9KRCW835A","A1AYHJTD7VEVXD","Submitted","Fri Jan 20 18:05:36 GMT 2012","Fri Jan 20 18:05:57 GMT 2012","Fri Jan 27 10:05:57 PST 2012","","","","21","100% (404/404)","100% (403/403)","100% (403/403)","http://en.wikipedia.org/wiki/Frame_of_reference","Frame_of_reference","http://en.wikipedia.org/wiki/Galilean_invariance","Galilean_invariance","","Source2Target","","",""
"204JUNU8LZ6RLHPRYLZDDJ3VDAGJ30","2ZZ2NJQ2172ZNQZ3DNBLHVEBUPGPXH","Help Determine Prerequisite for a Concept","In this task, you will determine whether understanding the main concept of a particular Wikipedia page is a prerequisite to understanding the main concept of another Wikipedia page.","comprehension,prerequisite,classification,newton's laws,physics,motion,velocity","$0.02","Tue Jan 17 04:18:26 GMT 2012","5","Department:Other","3600","604800","Tue Jan 24 04:18:26 GMT 2012","230","","2BANMHGYQ4J31RKSIRDFKOYZYL19MK","A3GFE7FYLZF4V1","Submitted","Sat Jan 21 10:38:16 GMT 2012","Sat Jan 21 10:38:23 GMT 2012","Sat Jan 28 02:38:23 PST 2012","","","","7","100% (441/441)","100% (441/441)","100% (441/441)","http://en.wikipedia.org/wiki/Frame_of_reference","Frame_of_reference","http://en.wikipedia.org/wiki/Galilean_invariance","Galilean_invariance","DoNotKnow","","","",""
"204JUNU8LZ6RLHPRYLZDDJ3VDAGJ30","2ZZ2NJQ2172ZNQZ3DNBLHVEBUPGPXH","Help Determine Prerequisite for a Concept","In this task, you will determine whether understanding the main concept of a particular Wikipedia page is a prerequisite to understanding the main concept of another Wikipedia page.","comprehension,prerequisite,classification,newton's laws,physics,motion,velocity","$0.02","Tue Jan 17 04:18:26 GMT 2012","5","Department:Other","3600","604800","Tue Jan 24 04:18:26 GMT 2012","230","","2E3LYHVI44OSG1UGFPEE4SBB5ZIX3M","AKHVTWTHW5VID","Submitted","Sun Jan 22 22:01:52 GMT 2012","Sun Jan 22 22:02:16 GMT 2012","Sun Jan 29 14:02:16 PST 2012","","","","24","0% (0/0)","0% (0/0)","0% (0/0)","http://en.wikipedia.org/wiki/Frame_of_reference","Frame_of_reference","http://en.wikipedia.org/wiki/Galilean_invariance","Galilean_invariance","","Source2Target","","",""
"204JUNU8LZ6RLHPRYLZDDJ3VDAGJ30","2ZZ2NJQ2172ZNQZ3DNBLHVEBUPGPXH","Help Determine Prerequisite for a Concept","In this task, you will determine whether understanding the main concept of a particular Wikipedia page is a prerequisite to understanding the main concept of another Wikipedia page.","comprehension,prerequisite,classification,newton's laws,physics,motion,velocity","$0.02","Tue Jan 17 04:18:26 GMT 2012","5","Department:Other","3600","604800","Tue Jan 24 04:18:26 GMT 2012","230","","2FD8I9NZW6HEDNX0B2N7Y86AWMPWM0","ADN980R82YEY0","Submitted","Sat Jan 21 13:20:11 GMT 2012","Sat Jan 21 13:20:21 GMT 2012","Sat Jan 28 05:20:21 PST 2012","","","","10","100% (369/369)","100% (369/369)","100% (369/369)","http://en.wikipedia.org/wiki/Frame_of_reference","Frame_of_reference","http://en.wikipedia.org/wiki/Galilean_invariance","Galilean_invariance","","","","Unrelated",""
"204JUNU8LZ6RLHPRYLZDDJ3VDAGJ30","2ZZ2NJQ2172ZNQZ3DNBLHVEBUPGPXH","Help Determine Prerequisite for a Concept","In this task, you will determine whether understanding the main concept of a particular Wikipedia page is a prerequisite to understanding the main concept of another Wikipedia page.","comprehension,prerequisite,classification,newton's laws,physics,motion,velocity","$0.02","Tue Jan 17 04:18:26 GMT 2012","5","Department:Other","3600","604800","Tue Jan 24 04:18:26 GMT 2012","230","","2Q5HDM25L8I91G5SOQQ6TE4RCZVGQ7","A16AK06D5FHLOF","Submitted","Sat Jan 21 12:38:26 GMT 2012","Sat Jan 21 12:38:35 GMT 2012","Sat Jan 28 04:38:35 PST 2012","","","","9","100% (65/65)","100% (65/65)","100% (65/65)","http://en.wikipedia.org/wiki/Frame_of_reference","Frame_of_reference","http://en.wikipedia.org/wiki/Galilean_invariance","Galilean_invariance","DoNotKnow","","","",""
